studentid,sex,age,bis1,bis2,bis3,bis4,bis5,bis6,bis7,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,bas11,bas12,bas13,a01_t1,a02_t1,a03_t1,a04_t1,a05_t1,a06_t1,a07_t1,a08_t1,a09_t1,a10_t1,a11_t1,a12_t1,a13_t1,a14_t1,a15_t1,a16_t1,a17_t1,a18_t1,a19_t1,a20_t1,d01_t1,d02_t1,d03_t1,d04_t1,d05_t1,d06_t1,d07_t1,d08_t1,d09_t1,d10_t1,d11_t1,d12_t1,d13_t1,d14_t1,d15_t1,d16_t1,d17_t1,d18_t1,d19_t1,d20_t1,a01_t2,a02_t2,a03_t2,a04_t2,a05_t2,a06_t2,a07_t2,a08_t2,a09_t2,a10_t2,a11_t2,a12_t2,a13_t2,a14_t2,a15_t2,a16_t2,a17_t2,a18_t2,a19_t2,a20_t2,d01_t2,d02_t2,d03_t2,d04_t2,d05_t2,d06_t2,d07_t2,d08_t2,d09_t2,d10_t2,d11_t2,d12_t2,d13_t2,d14_t2,d15_t2,d16_t2,d17_t2,d18_t2,d19_t2,d20_t2
11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,NA,2,2,2,2,2,3,3,4,4,3,3,4,2,3,4,2,3,4,4,4,1,1,4,4,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,4,1,1,1,1,1,1,2,3,2,2,1,1,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,NA,2,2,2,2,3,3,4,2,4,4,4,3,4,3,3,1,4,4,4,1,3,4,1,3,3,4,1,1,2,3,3,3,1,4,3,2,2,4,3,3,3,4,2,3,3,2,3,1,2,3,3,1,2,4,2,3,3,2,4,3,1,2,1,1,2,4,1,1,1,2,3,3,1,3,3,1,4,3,3,3,3,4,2,3,1,2,2,1,2,3,3,1,2,4,2,2,3,3,3,3
16,1,NA,2,3,4,4,3,2,1,3,4,2,4,3,2,2,2,2,3,2,3,4,1,3,1,1,3,3,1,1,1,1,3,3,1,4,3,1,1,2,1,3,3,3,2,1,1,2,1,1,2,3,3,3,1,4,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,NA,3,3,2,1,1,4,2,4,4,4,4,4,3,3,3,3,2,2,4,4,2,4,1,3,4,3,1,1,1,4,4,1,1,4,4,1,1,3,1,3,2,3,2,1,4,3,4,4,4,2,1,1,1,1,1,1,1,3,4,4,4,4,2,2,4,4,3,3,2,4,4,2,2,4,4,1,1,4,1,4,3,4,1,1,3,1,3,3,1,4,4,4,2,1,4,1,1,1,2,4
18,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,NA,2,3,4,2,4,2,1,3,4,3,4,2,3,2,3,3,3,3,1,1,1,3,1,1,4,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,3,4,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,21,3,2,1,2,3,3,2,2,3,4,4,2,3,2,3,4,3,3,3,3,3,3,1,1,3,2,2,1,1,3,3,2,2,3,2,1,1,3,2,3,1,3,1,2,1,1,2,1,1,2,2,2,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,4,2,2,1,3,3,3,1,4,4,1,3,3,3,3,3,3,1,1,1,3,1,1,1,2,4,3,3,4,1,3,4,4,1,4
25,1,NA,1,3,3,4,3,1,3,4,4,4,4,3,1,4,3,4,2,2,4,4,2,3,1,2,4,2,2,2,1,2,3,3,1,3,2,1,3,2,3,3,1,3,1,2,1,1,2,2,1,2,4,1,1,1,2,4,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,19,2,3,4,4,4,2,4,3,4,4,4,3,3,3,3,2,3,3,3,4,2,2,2,1,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,1,3,3,1,1,1,2,2,1,1,1,3,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,3,2,1,1,1,1,1,1,2,2,2,1,2,2,3,3,1,1,2
29,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,3,3,4,3,3,4,4,2,2,4,4,4,4,4,2,3,1,1,2,1,2,1,1,1,3,2,1,3,1,2,1,2,1,3
31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,NA,1,4,3,3,4,1,4,3,4,4,4,4,4,4,4,4,4,3,3,4,2,2,1,1,3,2,2,2,1,1,2,3,1,2,2,1,1,2,2,2,2,3,2,3,1,2,3,2,3,3,2,2,3,2,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,20,2,2,3,3,4,1,3,4,4,4,4,4,2,3,2,2,2,4,4,2,2,3,1,1,3,3,2,2,1,2,3,2,1,2,3,1,2,2,2,2,4,2,2,3,2,1,1,2,2,3,3,2,2,3,3,3,4,3,1,3,1,2,1,2,3,3,1,1,1,2,3,2,1,4,3,1,3,2,1,3,4,3,3,3,1,1,1,2,2,3,3,3,1,4,2,3,3,3,1,3
34,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,NA,3,4,3,3,3,2,3,2,4,4,3,3,4,3,2,3,3,4,3,4,2,2,1,4,3,NA,NA,NA,NA,NA,2,1,2,3,4,3,1,4,1,3,4,4,3,3,1,1,1,1,1,1,2,2,1,2,3,3,1,3,1,3,1,1,1,2,2,2,1,2,1,1,2,2,1,4,3,1,1,1,1,2,4,4,2,4,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2
36,1,NA,4,4,4,4,4,1,1,1,3,2,3,1,1,1,1,1,4,1,3,3,2,3,1,1,4,3,2,2,1,4,4,3,1,4,4,1,1,3,2,4,1,3,3,1,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,NA,2,2,1,1,3,4,3,2,4,3,3,1,3,2,3,3,4,4,3,4,2,3,1,3,3,1,2,3,1,1,4,1,1,4,3,1,1,2,1,3,2,4,1,3,3,1,1,1,1,3,2,2,2,3,3,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,20,2,2,3,4,4,2,3,3,4,4,3,3,1,3,2,4,3,3,4,3,2,1,1,2,4,2,1,1,1,2,3,1,1,3,2,1,1,2,2,3,1,3,1,3,1,2,3,2,3,4,3,3,1,1,2,3,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,20,2,3,3,3,3,3,1,3,4,4,4,2,2,2,3,4,3,2,4,3,1,1,1,1,3,1,1,1,1,2,2,1,1,3,2,1,1,1,1,2,3,4,1,4,3,2,3,3,2,4,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,3,3,2,3,3,2,2,1,1,2,3,2,2,2,3,2,3,1,3,3,1,2,1,2,2,1,1,2,1,1,1,2
40,1,NA,3,2,3,2,3,3,3,2,3,3,1,2,3,4,2,1,2,1,2,3,2,3,1,2,3,2,1,1,2,3,3,4,1,3,3,1,2,3,3,3,1,4,1,2,1,2,1,1,1,2,2,1,1,3,1,2,2,2,1,2,2,3,2,1,3,2,2,1,2,3,3,2,3,2,3,1,2,3,1,3,1,4,1,2,1,2,1,1,1,2,3,2,4,3,1,2,2,2,1,2
41,1,19,3,2,2,1,1,3,2,3,4,4,4,3,4,4,4,4,3,4,4,2,1,1,2,2,2,3,2,1,2,3,3,2,1,3,3,1,1,3,2,3,1,3,1,1,1,1,1,1,2,4,2,2,4,3,1,3,3,3,1,3,2,2,1,3,2,3,1,1,2,3,4,2,1,4,3,1,1,3,2,3,2,4,1,2,1,1,1,2,2,4,4,3,3,3,1,4,3,4,1,3
42,1,NA,3,3,2,2,3,3,2,3,3,3,4,3,3,3,3,3,2,3,4,3,2,2,1,3,2,2,2,1,1,2,2,3,1,3,2,2,1,1,2,2,3,4,1,1,1,1,2,1,1,2,2,2,3,2,2,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,1,2
43,1,19,2,4,4,3,4,3,4,3,3,3,4,4,3,4,4,2,4,4,3,3,2,3,1,2,3,3,1,2,2,2,2,3,1,4,3,3,3,3,4,3,2,4,1,1,1,1,1,1,1,3,3,2,2,4,3,4,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,20,1,4,4,2,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,1,2,1,2,2,1,1,2,3,2,1,1,3,2,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,3,2,1,1,1,2,1,1,2,2,2,2,3,1,3,1,2,1,1
46,1,19,3,3,3,3,3,2,2,3,4,3,3,4,3,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,1,2,2,2,2,2,4,1,2,1,2,1,1,1,3,3,2,2,2,2,2,2,2,1,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3,2,3,3,3,3,3,3,4,2,2,1,2,2,1,2,3,3,2,3,2,3,3,3,3,2,3
47,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,4,2,2,2,2,4,4,2,1,3,3,1,2,4,2,3,2,4,2,1,1,1,2,2,1,3,4,3,2,2,2,2,2,3,1,4
48,1,19,1,4,4,4,4,1,4,3,4,4,4,3,4,4,4,2,4,3,3,4,3,4,3,3,3,2,2,2,1,3,4,3,1,3,3,1,3,3,3,3,4,4,2,2,1,1,1,2,3,4,4,2,3,4,4,1,4,4,1,4,3,4,2,2,4,2,3,4,1,4,4,3,1,4,3,1,3,4,3,3,2,4,1,2,1,1,1,2,3,3,2,1,3,1,4,1,2,4,1,4
49,0,19,2,3,3,3,4,3,2,4,4,4,4,3,4,4,4,3,3,2,3,2,1,1,1,1,3,3,1,1,1,1,2,1,1,3,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,3,2,1,1,2,2,2,1,1,3,3,2,1,1,3,2,3,1,4,3,1,2,3,2,3,2,4,3,2,2,3,1,1,2,3,4,2,2,3,2,2,4,3,3,3
50,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
